text,label
что такое капитализация процентов,Вклады_и_инвестиции
"Ваши мастера побелили потолок, но краска легла с разводами. Теперь потолок выглядит хуже, чем до ремонта.",Качество_товара_или_услуги
"Роутер, который вы установили при подключении, постоянно теряет сигнал и перезагружается самостоятельно каждые несколько часов.",Качество_товара_или_услуги
"Это вобще не то что я заказывал!! качество отвратное, вернте деньги немедленно",Качество_товара_или_услуги
дивиденды по акциям,Вклады_и_инвестиции
"Обращаюсь с жалобой на качество монтажных работ. Батарею установили криво, она висит под углом и постоянно булькает.",Качество_товара_или_услуги
Качество оставляет желать лучшего,Качество_товара_или_услуги
"Несколько месяцев назад открыл у вас накопительный счёт и подключил автоматическое пополнение с зарплатной карты — по 20 000 рублей в месяц. Всё работало исправно, но в этом месяце автопополнение не прошло. Деньги на карте были. Где они теперь? Как восстановить автоматический перевод?",Вклады_и_инвестиции
"Система автопополнения списала деньги, хотя я отключал её в настройках. Прошу вернуть средства и убрать подписку.",Гейминг_и_донат
Могу ли я использовать средства материнского капитала как первоначальный взнос по ипотеке?,Кредиты_и_ипотеки
Пропали все предметы,Гейминг_и_донат
"Объясните пожалуйста разницу между аннуитетным и дифференцированным платежом, что выгоднее при досрочном погашении?",Кредиты_и_ипотеки
Получил куртку с оторванной пуговицей и расходящимся швом на рукаве. Явный брак при пошиве.,Качество_товара_или_услуги
"Случайно удалил письмо с кодом восстановления аккаунта до того, как успел его использовать. Можно ли выслать новый код?",Гейминг_и_донат
НЕ МОГУ ВОЙТИ УЖЕ 2 ДНЯ пишет что аккаунт не найден но я точно правильно ввожу все данные помогите пожалуйста,Гейминг_и_донат
"Здравствуйте. Описываю проблему максимально подробно. В рамках события 'Зимний фестиваль' нужно было выполнить 10 заданий для получения эксклюзивного персонажа. Я выполнил все задания, скриншоты прилагаю. Система отображала прогресс корректно. Однако в последний день события при попытке забрать награду появилась ошибка, а затем ивент завершился и весь прогресс обнулился. Персонаж выдан не был. Прошу начислить его вручную, так как все условия были выполнены.",Гейминг_и_донат
"Привет! Мы продвигаем молодого исполнителя в жанре инди-поп. Ищем площадки, где можно рассказать о нашем артисте. Интересует как платное размещение, так и возможный бартер — концертные билеты, мерч, эксклюзивный контент для вашей аудитории. Артист уже выступал на нескольких крупных фестивалях и набирает обороты. Думаем, вашим читателям он будет интересен. Можно пообщаться с кем-то из редакции?",Сотрудничество_и_реклама
"Короч сидел играл, всё норм было, потом игра обновилась и всё — чёрный экран при запуске. Дрова переустановил, директ обновил, ничего не помогает. Помогите пожалуйста, очень хочу играть.",Гейминг_и_донат
"Купила блеск для губ, он облупляется через час. При такой цене ожидала стойкость хотя бы на три-четыре часа.",Качество_товара_или_услуги
"Здравствуйте. Мы небольшой местный ресторан, хотим привлечь больше гостей. Слышали, что у вас можно разместить рекламу. Подскажите, есть ли геотаргетинг, то есть возможность показывать рекламу только жителям нашего района? Это для нас принципиально важно.",Сотрудничество_и_реклама
почему проценты меньше чем я ожидал,Вклады_и_инвестиции
"реф отклонили второй раз подряд, что за дела",Кредиты_и_ипотеки
"Добрый день! Представляю компанию по производству эксклюзивных корпоративных подарков. В преддверии праздников хотим запустить рекламу, ориентированную на руководителей компаний и HR-директоров. Пожалуйста, расскажите о возможностях таргетирования на данную аудиторию.",Сотрудничество_и_реклама
вклад или акции — что выбрать,Вклады_и_инвестиции
Обсудим партнёрство?,Сотрудничество_и_реклама
Наша компания специализируется на B2B-услугах. Хотим обсудить возможность совместного вебинара или онлайн-мероприятия.,Сотрудничество_и_реклама
"хочу рефить кредит, стоит ли сейчас или лучше подождать?",Кредиты_и_ипотеки
"При групповой игре с друзьями постоянно разрываются соединение именно между нами, хотя с рандомными игроками всё работает.",Гейминг_и_донат
Не работает звук,Гейминг_и_донат
"Скажите, будет ли возврат за купленный сезонный пропуск, если я его активировал, но ни разу не заходил в игру в этом сезоне?",Гейминг_и_донат
"Добрый день. Я маркетолог компании по аренде автомобилей. Хотим запустить серию рекламных публикаций перед летним сезоном путешествий. Нас интересуют разные форматы: от баннеров до нативных статей. Пожалуйста, свяжитесь с нами для обсуждения возможностей.",Сотрудничество_и_реклама
"Отец взял кредит и умер, теперь банк требует деньги с меня как с наследника. Это правомерно?",Кредиты_и_ипотеки
Сервис выполнен отвратительно,Качество_товара_или_услуги
"Уважаемый банк, я являюсь клиентом с 2015 года. В прошлом году, доверившись рекомендации вашего менеджера в отделении, я оформил инвестиционное страхование жизни на сумму 500 000 рублей сроком на 5 лет. Мне была обещана доходность выше банковского вклада. Сейчас прошёл год, я смотрю на результаты — доходность отрицательная, то есть мои деньги уменьшились. При этом досрочное расторжение договора влечёт серьёзные потери. Чувствую себя обманутым. Прошу предоставить полную документацию по продукту и разъяснить мои права в данной ситуации.",Вклады_и_инвестиции
Здравствуйте! Хочу разместить рекламу ветеринарной клиники. У нас широкий спектр услуг для домашних животных. Аудитория — владельцы кошек и собак. Есть ли у вас опыт работы с подобными проектами и каковы примерные бюджеты?,Сотрудничество_и_реклама
"Дочь хочет взять ипотеку, я готов выступить поручителем. Какие риски для меня?",Кредиты_и_ипотеки
"Купил игровой ноутбук, а он перегревается до 95 градусов в простых задачах. Это явно заводской дефект системы охлаждения.",Качество_товара_или_услуги
разница между вкладом и накопительным счётом,Вклады_и_инвестиции
"Мне нужна юридически грамотная консультация по следующему вопросу. Я приобрёл внутриигровые предметы на сумму более 15 000 рублей. Разработчик объявил о закрытии проекта через 30 дней. Обязан ли сервис вернуть средства за неиспользованные предметы? Если да, каков порядок подачи заявки на возврат?",Гейминг_и_донат
снизить процент по действующей ипотеке,Кредиты_и_ипотеки
"Здравствуйте, меня интересует реклама в вашем телеграм-канале. Я представляю компанию по недвижимости. Хотим разместить несколько рекламных постов. Напишите, пожалуйста, стоимость и условия.",Сотрудничество_и_реклама
"Хочу узнать как досрочно погасить заём через приложение, не нашёл нужного раздела.",Кредиты_и_ипотеки
Здравствуйте! Я дизайнер интерьеров с портфолио более 200 проектов. Хочу развивать личный бренд и привлекать новых клиентов через вашу платформу. Интересует публикация моих кейсов в формате визуальных историй с указанием контактов. Как это можно организовать?,Сотрудничество_и_реклама
"В игре появился платный контент, который раньше был доступен бесплатно. Это нечестно по отношению к старым игрокам.",Гейминг_и_донат
